['EQTL3.SA', 0.013750293247186103, 0.3766584565018534, [['high', 0.5133309424298365], ['low', 0.230705524091961], ['null', 0.37037335909329927]], [['high', 0.5112540192926045], ['low', 0.4782958199356913], ['null', 0.01045016077170418]], 1244]
['ESTR3.SA', 0.0033950115151685375, 0.011255027973546392, [['high', 6.994999885559082], ['low', 0.0], ['null', 0.0]], [['null', 0.997586484312148], ['high', 0.0016090104585679806], ['low', 0.0008045052292839903]], 1243]
['ESTR4.SA', 0.009367660275410954, 0.03285679928448924, [['high', 0.2996949260517702], ['low', 0.045639173271729776], ['null', 0.0010214011956745548]], [['null', 0.827031375703942], ['high', 0.09493161705551086], ['low', 0.07803700724054706]], 1243]
['ETER3.SA', -0.015749685250677863, 0.30003402988243716, [['high', 0.5150323189052709], ['low', 0.13246879088664484], ['null', 0.16487247102400837]], [['low', 0.5369774919614148], ['high', 0.43569131832797425], ['null', 0.027331189710610933]], 1244]
['EUCA3.SA', -0.00023312200687322586, 0.4644855211018749, [['high', 1.0799761068849405], ['low', 0.22235831830793587], ['null', 0.013237407739213902]], [['low', 0.4397106109324759], ['high', 0.33681672025723475], ['null', 0.22347266881028938]], 1244]
['EUCA4.SA', -0.013416398376513908, 0.19072345502890192, [['high', 0.29597762665491084], ['low', 0.11106127580719678], ['null', 0.10578944808558415]], [['low', 0.5377813504823151], ['high', 0.4316720257234727], ['null', 0.03054662379421222]], 1244]
['EVEN3.SA', -0.011109318380570488, 0.18881028181486958, [['high', 0.2849479168653488], ['low', 0.1057542619957338], ['null', 0.11]], [['low', 0.5168810289389068], ['high', 0.4630225080385852], ['null', 0.02009646302250804]], 1244]
['EZTC3.SA', -0.03345663601179215, 0.555385850250146, [['high', 0.8511694811158261], ['low', 0.2873953560526057], ['null', 0.37111102210150826]], [['low', 0.5184887459807074], ['high', 0.4742765273311897], ['null', 0.007234726688102894]], 1244]
['FESA3.SA', 0.019851175125625377, 0.0720173037061745, [['high', 0.4639724544220907], ['low', 0.08568791895104735], ['null', 0.0012056912054436804]], [['null', 0.7489943684633951], ['high', 0.13113435237329044], ['low', 0.11987127916331457]], 1243]
['FESA4.SA', -0.004250402235908141, 0.17651327284969318, [['high', 0.2725425107138498], ['low', 0.08964343255804491], ['null', 0.1370455568486994]], [['low', 0.5184887459807074], ['high', 0.47266881028938906], ['null', 0.008842443729903537]], 1244]
['FLRY3.SA', -0.020142669463080992, 0.29808389565569027, [['high', 0.45730615862839513], ['low', 0.1672384537846209], ['null', 0.2294920285542806]], [['low', 0.5337620578778135], ['high', 0.44694533762057875], ['null', 0.01929260450160772]], 1244]
['FRAS3.SA', -0.012782272610250393, 0.17198496041190586, [['high', 0.2391080195443672], ['low', 0.11628010235135518], ['null', 0.10002852569926869]], [['low', 0.5064308681672026], ['high', 0.45819935691318325], ['null', 0.03536977491961415]], 1244]
